id2,year,part,kd2,kd5,kd17,tempinc,part1
29,79,1,0,0,1,-1.11146199703217,NA
29,80,1,0,0,1,-2.89760804176331,1
29,81,1,0,0,1,-4.22999000549316,1
29,82,1,0,0,1,-0.991491317749023,1
29,83,1,1,0,1,-0.483310699462891,1
29,84,1,1,0,1,4.25237989425659,1
29,85,1,1,0,1,5.46147680282593,1
30,79,0,0,0,3,10.2818202972412,NA
30,80,0,0,0,1,2.17616200447083,0
30,81,0,0,0,0,2.50392293930054,0
30,82,0,0,0,0,-5.41348218917847,0
30,83,0,0,0,0,-1.75053799152374,0
30,84,0,0,0,0,-2.75396108627319,0
30,85,0,0,0,0,-5.04392910003662,0
31,79,1,0,0,2,3.92597007751465,NA
31,80,1,0,0,2,-2.61991310119629,1
31,81,1,0,0,2,1.13711500167847,1
31,82,1,0,0,2,-0.530515670776367,1
31,83,1,0,0,2,-2.48127603530884,1
31,84,1,0,0,2,3.73861908912659,1
31,85,1,0,0,2,-3.17000603675842,1
32,79,0,0,0,2,-8.13850021362305,NA
32,80,0,0,0,2,-9.54586410522461,0
32,81,0,0,0,2,-0.171474501490593,0
32,82,0,0,0,2,-1.98096096515656,0
32,83,0,0,0,2,6.52421998977661,0
32,84,0,0,0,2,4.50719499588013,0
32,85,0,0,0,1,8.80537414550781,0
33,79,1,0,0,1,1.37028396129608,NA
33,80,1,0,0,1,-0.152644202113152,1
33,81,1,0,0,1,-0.482623100280762,1
33,82,1,0,0,1,0.354432106018066,1
33,83,1,0,0,1,2.06600999832153,1
33,84,1,0,0,1,2.96202802658081,1
33,85,1,0,0,0,-6.11748695373535,1
34,79,0,1,1,1,7.60209321975708,NA
34,80,1,0,1,2,2.38011598587036,0
34,81,1,0,1,2,7.81709098815918,1
34,82,1,0,1,2,-1.11764597892761,1
34,83,1,0,0,3,-8.56519222259521,1
34,84,1,0,0,3,-4.8082799911499,1
34,85,1,0,0,3,-3.30818700790405,1
35,79,0,0,0,1,29.2887992858887,NA
35,80,0,0,0,1,-9.44242095947266,0
35,81,0,0,0,0,-12.490180015564,0
35,82,0,0,0,0,-8.62376403808594,0
35,83,0,0,0,0,1.93952894210815,0
35,84,0,0,0,0,1.54623401165009,0
35,85,0,0,0,0,-2.21817803382874,0
36,79,0,0,0,0,1.23201203346252,NA
36,80,0,0,0,0,0.523034989833832,0
36,81,0,0,0,0,2.44961404800415,0
36,82,0,0,0,0,4.75070381164551,0
36,83,0,0,0,0,0.121259696781635,0
36,84,1,0,0,0,-0.603959977626801,0
36,85,1,0,0,0,-8.47266864776611,1
37,79,1,0,1,2,-1.68540799617767,NA
37,80,1,0,0,3,0.0335998982191086,1
37,81,1,0,0,3,0.604618072509766,1
37,82,1,0,0,3,-0.608150482177734,1
37,83,1,0,0,3,-0.995010375976562,1
37,84,1,0,0,3,1.71369194984436,1
37,85,1,0,0,3,0.936658918857574,1
38,79,0,0,0,0,-1.56006503105164,NA
38,80,1,0,0,0,-1.08658397197723,0
38,81,1,1,0,0,-4.73761892318726,1
38,82,0,1,0,0,0.283132612705231,1
38,83,0,1,0,0,0.010385500267148,0
38,84,0,1,1,0,5.9685378074646,0
38,85,0,1,1,0,1.12220799922943,0
39,79,1,0,0,0,-1.13296496868134,NA
39,80,1,0,0,0,4.18061590194702,1
39,81,1,0,0,0,3.61679100990295,1
39,82,1,0,0,0,2.97096610069275,1
39,83,1,0,0,0,-0.209262803196907,1
39,84,1,0,0,0,-2.2321469783783,1
39,85,1,0,0,0,-7.19399309158325,1
40,79,0,0,0,0,3.70708394050598,NA
40,80,0,0,0,0,1.6991480588913,0
40,81,1,0,0,0,-0.68475341796875,0
40,82,1,0,0,0,-0.451342612504959,1
40,83,1,0,0,0,-1.05444598197937,1
40,84,1,0,0,0,-1.56567001342773,1
